mode_type,street,lat,long
mv,CAMBRIDGE ST,42.3836350461393,-71.0751970333764
mv,,42.3570342071346,-71.126241306044
mv,,42.2808544957036,-71.0845827811619
mv,DEDHAM ST,42.3419107473481,-71.0727737596502
mv,,42.3624432062865,-71.0572831973072
ped,RIVER ST,42.2712895004147,-71.074332708629
mv,,42.3391016236161,-71.0923120451917
ped,,42.3443353906912,-71.0670544519236
mv,,42.2960404455713,-71.1161471602017
mv,,42.3048728075144,-71.0811878513571
mv,,42.3664666428404,-71.0605318366803
mv,,42.3394631600602,-71.0641351805111
mv,,42.325048760686,-71.0691516203568
ped,,42.3316981443285,-71.0679815741383
mv,FANEUIL ST,42.3510727082077,-71.1681052615439
mv,FULLER ST,42.2836758083628,-71.0659190891035
ped,NORFOLK ST,42.2822563921556,-71.0862805903008
mv,,42.2651520658662,-71.0991322569581
ped,SECOND ST,42.337394582465,-71.0308997417791
ped,,42.3195823882427,-71.0984024519911
mv,,42.2451545144184,-71.1363087751643
mv,,42.3709062220772,-71.0627081629853
mv,HUNTINGTON AVE,42.3461098928491,-71.0809702289535
mv,,42.3636652181871,-71.0583861534972
mv,HAMPDEN ST,42.3307940491558,-71.0748212742459
ped,,42.2861870461642,-71.1297239009271
mv,WASHINGTON ST,42.3661161704857,-71.0584514317992
mv,,42.2961236848462,-71.0613589346637
mv,COMMONWEALTH AVE,42.3507715254448,-71.1138024898184
mv,CENTRAL AVE,42.2636164032277,-71.1181692339467
mv,TREMONT ST,42.3369434449932,-71.0846578999627
mv,,42.3215995638235,-71.1121243561254
mv,,42.3477121702609,-71.0878672201155
mv,HYDE PARK AVE,42.2564454515372,-71.1239610646658
mv,WASHINGTON ST,42.3503174084321,-71.0633027788189
mv,WASHINGTON ST,42.2702414851967,-71.1471597276446
mv,,42.2687247301171,-71.1617453212573
mv,,42.3158085168013,-71.0982902915831
mv,TRUMAN PKWY,42.2497200365255,-71.1226690103729
mv,,42.267589035896,-71.1500923722875
ped,,42.3611629815228,-71.0638120179728
mv,DANUBE ST,42.3176610521861,-71.0753820611713
mv,,42.2709620406237,-71.0853914518183
mv,GENEVA AVE,42.3048153140069,-71.0737583741776
mv,MAYFIELD ST,42.3168216750602,-71.0599219559885
mv,CAMBRIDGE ST,42.3836350461393,-71.0751970333764
mv,TRUMAN PKWY,42.2425110460456,-71.12641214194
ped,,42.3508580718265,-71.0894836662669
ped,KNEELAND ST,42.3503538358448,-71.0605243296684
mv,MASSACHUSETTS AVE,42.345982825614,-71.0870982317438
mv,,42.3125840313009,-71.0843570122309
ped,MONTROSE ST,42.3235293641252,-71.0813764077848
mv,,42.294907833355,-71.0878204187995
mv,LANARK RD,42.3406131807152,-71.1473315015711
mv,WILLIAM T MORRISSEY BLVD,42.3121933213647,-71.0460173432579
ped,ABBOT ST,42.2973763091635,-71.0863345088504
mv,MORTON ST,42.2802103019967,-71.082239209564
ped,BEACON ST,42.3562284066282,-71.0693362365355
mv,WASHINGTON ST,42.3004665720878,-71.1146941767584
mv,,42.316899518249,-71.0780572687026
mv,RIVER ST,42.2713335959976,-71.0815217812367
mv,,42.3858042466344,-71.0223910591945
mv,MASSPORT HAUL RD,42.3459447429852,-71.0398152754756
mv,,42.2820114958427,-71.0589153444594
mv,,42.3741770905415,-71.0372949603338
mv,NEW RUTHERFORD AVE,42.3750792452359,-71.0684923699772
mv,,42.2824352882014,-71.1149533487198
mv,WALTER ST,42.293981806436,-71.1306059077555
mv,,42.3488439136914,-71.0915811310542
mv,,42.3581862039085,-71.0518951518449
mv,,42.3310563175341,-71.0808920195155
mv,,42.3377029263104,-71.0826445673175
ped,,42.3749562280379,-71.0389580998983
mv,SOUTH ST,42.3091580800434,-71.1155398771261
ped,MASSACHUSETTS AVE,42.3260996099445,-71.066274369575
mv,,42.3076387559169,-71.0890277313845
mv,GALLIVAN BLVD,42.2843985108383,-71.0456273348211
mv,,42.2666229625366,-71.1182703884754
ped,WASHINGTON ST,42.3587644104454,-71.0578055181009
mv,,42.3677122049131,-71.0622141426475
mv,,42.2440029156625,-71.1236519295443
mv,,42.3049199868413,-71.0741346337275
mv,CROWN POINT DR,42.2582387623989,-71.1475369991699
mv,WILLIAM T MORRISSEY BLVD,42.2898346913597,-71.0451284830472
mv,,42.3455483993294,-71.0943651520105
ped,HANCOCK ST,42.3124024250006,-71.0641819142361
mv,,42.3288921425093,-71.0851332236713
mv,NEWTON ST,42.3365176053435,-71.0707882839653
